"from","to","path_weight","weight"
"n002","n001",1,10
"n003","n001",1,1.5
"n004","n001",1,1.5
"n005","n001",1,1.5
"n006","n001",1,1.5
"n003","n002",10,1.5
"n004","n002",10,1.5
"n005","n002",10,1.5
"n006","n002",10,1.5
"n007","n002",1,1.5
"n008","n002",1,1.5
"n009","n002",10,1.5
"n010","n002",1,1.5
"n011","n002",10,1.5
"n012","n002",10,1.5
"n013","n002",1,1.5
"n014","n002",10,1.5
"n015","n002",10,1.5
"n016","n002",10,1.5
"n017","n002",1,1.5
"n018","n002",10,1.5
"n019","n002",10,1.5
"n020","n002",10,1.5
"n021","n002",10,1.5
"n004","n003",10,1.5
"n005","n003",10,1.5
"n006","n003",10,1.5
"n007","n003",10,1.5
"n008","n003",1,1.5
"n009","n003",1,1.5
"n010","n003",10,1.5
"n011","n003",1,1.5
"n012","n003",10,1.5
"n013","n003",10,1.5
"n014","n003",1,1.5
"n015","n003",10,1.5
"n016","n003",10,1.5
"n017","n003",10,1.5
"n018","n003",1,1.5
"n019","n003",10,1.5
"n020","n003",10,1.5
"n021","n003",10,1.5
"n005","n004",10,1.5
"n006","n004",10,1.5
"n007","n004",10,1.5
"n008","n004",10,1.5
"n009","n004",10,1.5
"n010","n004",1,1.5
"n011","n004",1,1.5
"n012","n004",1,1.5
"n013","n004",10,1.5
"n014","n004",10,1.5
"n015","n004",1,1.5
"n016","n004",10,1.5
"n017","n004",10,1.5
"n018","n004",10,1.5
"n019","n004",1,1.5
"n020","n004",10,1.5
"n021","n004",10,1.5
"n006","n005",10,1.5
"n007","n005",10,1.5
"n008","n005",10,1.5
"n009","n005",10,1.5
"n010","n005",10,1.5
"n011","n005",10,1.5
"n012","n005",10,1.5
"n013","n005",1,1.5
"n014","n005",1,1.5
"n015","n005",1,1.5
"n016","n005",1,1.5
"n017","n005",10,1.5
"n018","n005",10,1.5
"n019","n005",10,1.5
"n020","n005",1,1.5
"n021","n005",10,1.5
"n007","n006",10,1.5
"n008","n006",10,1.5
"n009","n006",10,1.5
"n010","n006",10,1.5
"n011","n006",10,1.5
"n012","n006",10,1.5
"n013","n006",10,1.5
"n014","n006",10,1.5
"n015","n006",10,1.5
"n016","n006",10,1.5
"n017","n006",1,1.5
"n018","n006",1,1.5
"n019","n006",1,1.5
"n020","n006",1,1.5
"n021","n006",1,1.5
"n008","n007",10,1.5
"n009","n007",10,1.5
"n010","n007",10,1.5
"n011","n007",10,1.5
"n012","n007",10,1.5
"n013","n007",10,1.5
"n014","n007",10,1.5
"n015","n007",10,1.5
"n016","n007",10,1.5
"n017","n007",10,1.5
"n018","n007",10,1.5
"n019","n007",10,1.5
"n020","n007",10,1.5
"n021","n007",10,1.5
"n022","n007",1,1.5
"n023","n007",10,1.5
"n024","n007",1,1.5
"n025","n007",10,1.5
"n026","n007",10,1.5
"n027","n007",10,1.5
"n028","n007",10,1.5
"n029","n007",1,1.5
"n030","n007",10,1.5
"n031","n007",10,1.5
"n032","n007",10,1.5
"n033","n007",10,1.5
"n034","n007",10,1.5
"n035","n007",10,1.5
"n036","n007",10,1.5
"n037","n007",10,1.5
"n038","n007",1,1.5
"n039","n007",10,1.5
"n040","n007",10,1.5
"n041","n007",10,1.5
"n042","n007",10,1.5
"n043","n007",10,1.5
"n044","n007",10,1.5
"n045","n007",10,1.5
"n046","n007",10,1.5
"n047","n007",10,1.5
"n048","n007",10,1.5
"n049","n007",10,1.5
"n050","n007",10,1.5
"n051","n007",10,1.5
"n009","n008",10,1.5
"n010","n008",10,1.5
"n011","n008",10,1.5
"n012","n008",10,1.5
"n013","n008",10,1.5
"n014","n008",10,1.5
"n015","n008",10,1.5
"n016","n008",10,1.5
"n017","n008",10,1.5
"n018","n008",10,1.5
"n019","n008",10,1.5
"n020","n008",10,1.5
"n021","n008",10,1.5
"n022","n008",1,1.5
"n023","n008",1,1.5
"n024","n008",10,1.5
"n025","n008",1,1.5
"n026","n008",10,1.5
"n027","n008",10,1.5
"n028","n008",10,1.5
"n029","n008",10,1.5
"n030","n008",1,1.5
"n031","n008",10,1.5
"n032","n008",10,1.5
"n033","n008",10,1.5
"n034","n008",10,1.5
"n035","n008",10,1.5
"n036","n008",10,1.5
"n037","n008",10,1.5
"n038","n008",10,1.5
"n039","n008",1,1.5
"n040","n008",10,1.5
"n041","n008",10,1.5
"n042","n008",10,1.5
"n043","n008",10,1.5
"n044","n008",10,1.5
"n045","n008",10,1.5
"n046","n008",10,1.5
"n047","n008",10,1.5
"n048","n008",10,1.5
"n049","n008",10,1.5
"n050","n008",10,1.5
"n051","n008",10,1.5
"n010","n009",10,1.5
"n011","n009",10,1.5
"n012","n009",10,1.5
"n013","n009",10,1.5
"n014","n009",10,1.5
"n015","n009",10,1.5
"n016","n009",10,1.5
"n017","n009",10,1.5
"n018","n009",10,1.5
"n019","n009",10,1.5
"n020","n009",10,1.5
"n021","n009",10,1.5
"n022","n009",10,1.5
"n023","n009",1,1.5
"n024","n009",10,1.5
"n025","n009",10,1.5
"n026","n009",1,1.5
"n027","n009",10,1.5
"n028","n009",10,1.5
"n029","n009",10,1.5
"n030","n009",10,1.5
"n031","n009",1,1.5
"n032","n009",10,1.5
"n033","n009",10,1.5
"n034","n009",10,1.5
"n035","n009",10,1.5
"n036","n009",10,1.5
"n037","n009",10,1.5
"n038","n009",10,1.5
"n039","n009",10,1.5
"n040","n009",1,1.5
"n041","n009",10,1.5
"n042","n009",10,1.5
"n043","n009",10,1.5
"n044","n009",10,1.5
"n045","n009",10,1.5
"n046","n009",10,1.5
"n047","n009",10,1.5
"n048","n009",10,1.5
"n049","n009",10,1.5
"n050","n009",10,1.5
"n051","n009",10,1.5
"n011","n010",10,1.5
"n012","n010",10,1.5
"n013","n010",10,1.5
"n014","n010",10,1.5
"n015","n010",10,1.5
"n016","n010",10,1.5
"n017","n010",10,1.5
"n018","n010",10,1.5
"n019","n010",10,1.5
"n020","n010",10,1.5
"n021","n010",10,1.5
"n022","n010",10,1.5
"n023","n010",10,1.5
"n024","n010",1,1.5
"n025","n010",1,1.5
"n026","n010",10,1.5
"n027","n010",1,1.5
"n028","n010",10,1.5
"n029","n010",10,1.5
"n030","n010",10,1.5
"n031","n010",10,1.5
"n032","n010",1,1.5
"n033","n010",10,1.5
"n034","n010",10,1.5
"n035","n010",10,1.5
"n036","n010",10,1.5
"n037","n010",10,1.5
"n038","n010",10,1.5
"n039","n010",10,1.5
"n040","n010",10,1.5
"n041","n010",1,1.5
"n042","n010",10,1.5
"n043","n010",10,1.5
"n044","n010",10,1.5
"n045","n010",10,1.5
"n046","n010",10,1.5
"n047","n010",10,1.5
"n048","n010",10,1.5
"n049","n010",10,1.5
"n050","n010",10,1.5
"n051","n010",10,1.5
"n012","n011",10,1.5
"n013","n011",10,1.5
"n014","n011",10,1.5
"n015","n011",10,1.5
"n016","n011",10,1.5
"n017","n011",10,1.5
"n018","n011",10,1.5
"n019","n011",10,1.5
"n020","n011",10,1.5
"n021","n011",10,1.5
"n022","n011",10,1.5
"n023","n011",10,1.5
"n024","n011",10,1.5
"n025","n011",1,1.5
"n026","n011",1,1.5
"n027","n011",10,1.5
"n028","n011",1,1.5
"n029","n011",10,1.5
"n030","n011",10,1.5
"n031","n011",10,1.5
"n032","n011",10,1.5
"n033","n011",1,1.5
"n034","n011",10,1.5
"n035","n011",10,1.5
"n036","n011",10,1.5
"n037","n011",10,1.5
"n038","n011",10,1.5
"n039","n011",10,1.5
"n040","n011",10,1.5
"n041","n011",10,1.5
"n042","n011",1,1.5
"n043","n011",10,1.5
"n044","n011",10,1.5
"n045","n011",10,1.5
"n046","n011",10,1.5
"n047","n011",10,1.5
"n048","n011",10,1.5
"n049","n011",10,1.5
"n050","n011",10,1.5
"n051","n011",10,1.5
"n013","n012",10,1.5
"n014","n012",10,1.5
"n015","n012",10,1.5
"n016","n012",10,1.5
"n017","n012",10,1.5
"n018","n012",10,1.5
"n019","n012",10,1.5
"n020","n012",10,1.5
"n021","n012",10,1.5
"n022","n012",10,1.5
"n023","n012",10,1.5
"n024","n012",10,1.5
"n025","n012",10,1.5
"n026","n012",10,1.5
"n027","n012",1,1.5
"n028","n012",1,1.5
"n029","n012",10,1.5
"n030","n012",10,1.5
"n031","n012",10,1.5
"n032","n012",10,1.5
"n033","n012",10,1.5
"n034","n012",1,1.5
"n035","n012",10,1.5
"n036","n012",10,1.5
"n037","n012",10,1.5
"n038","n012",10,1.5
"n039","n012",10,1.5
"n040","n012",10,1.5
"n041","n012",10,1.5
"n042","n012",10,1.5
"n043","n012",1,1.5
"n044","n012",10,1.5
"n045","n012",10,10
"n046","n012",10,1.5
"n047","n012",10,1.5
"n048","n012",10,1.5
"n049","n012",10,1.5
"n050","n012",10,1.5
"n051","n012",10,1.5
"n014","n013",10,1.5
"n015","n013",10,1.5
"n016","n013",10,1.5
"n017","n013",10,1.5
"n018","n013",10,1.5
"n019","n013",10,1.5
"n020","n013",10,1.5
"n021","n013",10,1.5
"n022","n013",10,1.5
"n023","n013",10,1.5
"n024","n013",10,1.5
"n025","n013",10,1.5
"n026","n013",10,1.5
"n027","n013",10,1.5
"n028","n013",10,1.5
"n029","n013",1,1.5
"n030","n013",1,1.5
"n031","n013",10,1.5
"n032","n013",1,1.5
"n033","n013",10,1.5
"n034","n013",10,1.5
"n035","n013",1,1.5
"n036","n013",10,1.5
"n037","n013",10,1.5
"n038","n013",10,1.5
"n039","n013",10,1.5
"n040","n013",10,1.5
"n041","n013",10,1.5
"n042","n013",10,1.5
"n043","n013",10,1.5
"n044","n013",1,1.5
"n045","n013",10,1.5
"n046","n013",10,1.5
"n047","n013",10,1.5
"n048","n013",10,1.5
"n049","n013",10,1.5
"n050","n013",10,1.5
"n051","n013",10,1.5
"n015","n014",10,1.5
"n016","n014",10,1.5
"n017","n014",10,1.5
"n018","n014",10,1.5
"n019","n014",10,1.5
"n020","n014",10,1.5
"n021","n014",10,1.5
"n022","n014",10,1.5
"n023","n014",10,1.5
"n024","n014",10,1.5
"n025","n014",10,1.5
"n026","n014",10,1.5
"n027","n014",10,1.5
"n028","n014",10,1.5
"n029","n014",10,1.5
"n030","n014",1,1.5
"n031","n014",1,1.5
"n032","n014",10,1.5
"n033","n014",1,1.5
"n034","n014",10,1.5
"n035","n014",10,1.5
"n036","n014",1,1.5
"n037","n014",10,1.5
"n038","n014",10,1.5
"n039","n014",10,1.5
"n040","n014",10,1.5
"n041","n014",10,1.5
"n042","n014",10,1.5
"n043","n014",10,1.5
"n044","n014",10,1.5
"n045","n014",1,1.5
"n046","n014",10,1.5
"n047","n014",10,1.5
"n048","n014",10,1.5
"n049","n014",10,1.5
"n050","n014",10,1.5
"n051","n014",10,1.5
"n016","n015",10,1.5
"n017","n015",10,1.5
"n018","n015",10,1.5
"n019","n015",10,1.5
"n020","n015",10,1.5
"n021","n015",10,1.5
"n022","n015",10,1.5
"n023","n015",10,1.5
"n024","n015",10,1.5
"n025","n015",10,1.5
"n026","n015",10,1.5
"n027","n015",10,1.5
"n028","n015",10,1.5
"n029","n015",10,1.5
"n030","n015",10,1.5
"n031","n015",10,1.5
"n032","n015",1,1.5
"n033","n015",1,1.5
"n034","n015",1,1.5
"n035","n015",10,1.5
"n036","n015",10,1.5
"n037","n015",1,1.5
"n038","n015",10,1.5
"n039","n015",10,1.5
"n040","n015",10,1.5
"n041","n015",10,1.5
"n042","n015",10,1.5
"n043","n015",10,1.5
"n044","n015",10,1.5
"n045","n015",10,1.5
"n046","n015",1,1.5
"n047","n015",10,1.5
"n048","n015",10,1.5
"n049","n015",10,1.5
"n050","n015",10,1.5
"n051","n015",10,1.5
"n017","n016",10,1.5
"n018","n016",10,1.5
"n019","n016",10,1.5
"n020","n016",10,1.5
"n021","n016",10,1.5
"n022","n016",10,1.5
"n023","n016",10,1.5
"n024","n016",10,1.5
"n025","n016",10,1.5
"n026","n016",10,1.5
"n027","n016",10,1.5
"n028","n016",10,1.5
"n029","n016",10,1.5
"n030","n016",10,1.5
