"id","evn_state","weight"
"n001","O1_L1_C1_F1_R1",25
"n002","O2_L1_C1_F1_R1",24
"n003","O1_L2_C1_F1_R1",24
"n004","O1_L1_C2_F1_R1",24
"n005","O1_L1_C1_F2_R1",24
"n006","O1_L1_C1_F1_R2",24
"n007","O3_L1_C1_F1_R1",23
"n008","O2_L2_C1_F1_R1",23
"n009","O1_L3_C1_F1_R1",23
"n010","O2_L1_C2_F1_R1",23
"n011","O1_L2_C2_F1_R1",23
"n012","O1_L1_C3_F1_R1",23
"n013","O2_L1_C1_F2_R1",23
"n014","O1_L2_C1_F2_R1",23
"n015","O1_L1_C2_F2_R1",23
"n016","O1_L1_C1_F3_R1",23
"n017","O2_L1_C1_F1_R2",23
"n018","O1_L2_C1_F1_R2",23
"n019","O1_L1_C2_F1_R2",23
"n020","O1_L1_C1_F2_R2",23
"n021","O1_L1_C1_F1_R3",23
"n022","O3_L2_C1_F1_R1",22
"n023","O2_L3_C1_F1_R1",22
"n024","O3_L1_C2_F1_R1",22
"n025","O2_L2_C2_F1_R1",22
"n026","O1_L3_C2_F1_R1",22
"n027","O2_L1_C3_F1_R1",22
"n028","O1_L2_C3_F1_R1",22
"n029","O3_L1_C1_F2_R1",22
"n030","O2_L2_C1_F2_R1",22
"n031","O1_L3_C1_F2_R1",22
"n032","O2_L1_C2_F2_R1",22
"n033","O1_L2_C2_F2_R1",22
"n034","O1_L1_C3_F2_R1",22
"n035","O2_L1_C1_F3_R1",22
"n036","O1_L2_C1_F3_R1",22
"n037","O1_L1_C2_F3_R1",22
"n038","O3_L1_C1_F1_R2",22
"n039","O2_L2_C1_F1_R2",22
"n040","O1_L3_C1_F1_R2",22
"n041","O2_L1_C2_F1_R2",22
"n042","O1_L2_C2_F1_R2",22
"n043","O1_L1_C3_F1_R2",22
"n044","O2_L1_C1_F2_R2",22
"n045","O1_L2_C1_F2_R2",22
"n046","O1_L1_C2_F2_R2",22
"n047","O1_L1_C1_F3_R2",22
"n048","O2_L1_C1_F1_R3",22
"n049","O1_L2_C1_F1_R3",22
"n050","O1_L1_C2_F1_R3",22
"n051","O1_L1_C1_F2_R3",22
"n052","O3_L3_C1_F1_R1",21
"n053","O3_L2_C2_F1_R1",21
"n054","O2_L3_C2_F1_R1",21
"n055","O3_L1_C3_F1_R1",21
"n056","O2_L2_C3_F1_R1",21
"n057","O1_L3_C3_F1_R1",21
"n058","O3_L2_C1_F2_R1",21
"n059","O2_L3_C1_F2_R1",21
"n060","O3_L1_C2_F2_R1",21
"n061","O2_L2_C2_F2_R1",21
"n062","O1_L3_C2_F2_R1",21
"n063","O2_L1_C3_F2_R1",21
"n064","O1_L2_C3_F2_R1",21
"n065","O3_L1_C1_F3_R1",21
"n066","O2_L2_C1_F3_R1",21
"n067","O1_L3_C1_F3_R1",21
"n068","O2_L1_C2_F3_R1",21
"n069","O1_L2_C2_F3_R1",21
"n070","O1_L1_C3_F3_R1",21
"n071","O3_L2_C1_F1_R2",21
